riskAllele,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,mappedGenes,traitName,efoTraits
rs144447022-?,7e-20,-,NR,-,-,-,LINC03003,Bipolar disorder (MTAG),bipolar disorder
rs169738-?,1e-08,-,NR,-,-,-,"Metazoa_SRP,BAK1",Bipolar disorder (MTAG),bipolar disorder
rs60730-?,1e-09,-,NR,-,-,-,SNAP91,Bipolar disorder (MTAG),bipolar disorder
rs9320913-?,1e-08,-,NR,-,-,-,"MIR2113,EIF4EBP2P3",Bipolar disorder (MTAG),bipolar disorder
rs58120505-?,7e-09,-,NR,-,-,-,MAD1L1,Bipolar disorder (MTAG),bipolar disorder
rs80195870-?,2e-10,-,NR,-,-,-,GSDME,Bipolar disorder (MTAG),bipolar disorder
rs12704290-?,1e-09,-,NR,-,-,-,"GRM3,GRM3-AS1",Bipolar disorder (MTAG),bipolar disorder
rs2966422-?,4e-08,-,NR,-,-,-,"IMMP2L,RPL3P8",Bipolar disorder (MTAG),bipolar disorder
rs13236223-?,2e-09,-,NR,-,-,-,"CCT4P1,BRAF",Bipolar disorder (MTAG),bipolar disorder
rs75836205-?,3e-08,-,NR,-,-,-,"RPL10AP3,RPL6P22",Bipolar disorder (MTAG),bipolar disorder
rs6984358-?,1e-08,-,NR,-,-,-,FGFR1,Bipolar disorder (MTAG),bipolar disorder
rs11167136-?,1e-09,-,NR,-,-,-,TSNARE1,Bipolar disorder (MTAG),bipolar disorder
rs10764493-?,8e-09,-,NR,-,-,-,CACNB2,Bipolar disorder (MTAG),bipolar disorder
rs7098825-?,1e-12,-,NR,-,-,-,"U6,BORCS7-ASMT",Bipolar disorder (MTAG),bipolar disorder
rs72830427-?,3e-08,-,NR,-,-,-,"MXI1,SNRPGP12",Bipolar disorder (MTAG),bipolar disorder
rs12805133-?,3e-08,-,NR,-,-,-,SPTBN2,Bipolar disorder (MTAG),bipolar disorder
rs2514218-?,5e-09,-,NR,-,-,-,"DRD2,TMPRSS5",Bipolar disorder (MTAG),bipolar disorder
rs4298967-?,3e-16,-,NR,-,-,-,"CACNA1C,CACNA1C-IT3",Bipolar disorder (MTAG),bipolar disorder
rs4762559-?,6e-09,-,NR,-,-,-,ANKS1B,Bipolar disorder (MTAG),bipolar disorder
rs10149407-?,2e-08,-,NR,-,-,-,PRKD1,Bipolar disorder (MTAG),bipolar disorder
rs7161596-?,1e-08,-,NR,-,-,-,RGS6,Bipolar disorder (MTAG),bipolar disorder
rs11624408-?,3e-09,-,NR,-,-,-,BCL11B,Bipolar disorder (MTAG),bipolar disorder
rs722637-?,1e-10,-,NR,-,-,-,PPP1R13B,Bipolar disorder (MTAG),bipolar disorder
rs28681284-?,3e-08,-,NR,-,-,-,CHRNA3,Bipolar disorder (MTAG),bipolar disorder
rs12906474-?,5e-12,-,NR,-,-,-,UBE2Q2P1,Bipolar disorder (MTAG),bipolar disorder
rs1023330-?,2e-08,-,NR,-,-,-,"TLCD4,TLCD4-RWDD3",Bipolar disorder (MTAG),bipolar disorder
rs78676616-?,4e-11,-,NR,-,-,-,LINC02988,Bipolar disorder (MTAG),bipolar disorder
rs12334475-T,3e-07,-,NR,1.3733491,-,[1.21714766313734-1.54959718221248],"MIR4472-1,DNAJC8P3",Bipolar disorder,bipolar disorder
rs174576-A,1e-10,-,NR,1.1258574,-,[1.085854143728-1.16733516060197],FADS2,Bipolar disorder,bipolar disorder
rs10896135-G,1e-07,-,NR,1.12427,-,[1.0763-1.17437],TOP6BL,Bipolar disorder,bipolar disorder
rs12576775-G,3e-09,-,NR,1.1829699,-,[1.11890240150022-1.25070508499166],TENM4,Bipolar disorder,bipolar disorder
rs1842329-T,4e-07,-,NR,1.1168443,-,[1.07016653931685-1.1655568622743],"MIR4303,RNU4-41P",Bipolar disorder,bipolar disorder
rs4926298-G,6e-10,-,NR,1.1321515,-,[1.08856333588057-1.17748461027614],NFIX,Bipolar disorder,bipolar disorder
rs186197500-A,7e-07,(Japanese),NR,1.8491876,-,[1.45126296159233-2.35622325686603],RASAL2,Bipolar disorder,bipolar disorder
rs72874541-G,2e-07,(Japanese),NR,1.23368,-,[1.13997-1.33509],LINC00698,Bipolar disorder,bipolar disorder
rs115769866-A,8e-07,(Japanese),NR,1.18655,-,[1.1087-1.26988],"SCAND3,GPX5",Bipolar disorder,bipolar disorder
rs3931398-A,4e-07,(Japanese),NR,1.34919,-,[1.20176-1.51471],MAD1L1,Bipolar disorder,bipolar disorder
rs35425515-C,7e-07,(Japanese),NR,1.5163853,-,[1.28695491024776-1.78671931532916],SLIT1,Bipolar disorder,bipolar disorder
rs78089757-A,4e-07,(Japanese),NR,1.406913,-,[1.23294984483326-1.6054224749514],"MRPS21P6,RPS27P18",Bipolar disorder,bipolar disorder
rs329674-A,1e-07,(Japanese),NR,1.2155114,-,[1.13140218066456-1.30587513221986],IGSF9B,Bipolar disorder,bipolar disorder
rs185880008-T,4e-07,(Japanese),NR,1.18733,-,[1.11096-1.26895],CPNE8,Bipolar disorder,bipolar disorder
rs76317718-G,2e-07,(Japanese),NR,1.19429,-,[1.11666-1.27731],ARHGEF15,Bipolar disorder,bipolar disorder
rs61580878-A,9e-07,(Japanese),NR,1.19373,-,[1.11231-1.2811],LINC01643,Bipolar disorder,bipolar disorder
rs9834970-C,2e-09,-,NR,1.11554,-,[1.07634-1.15616],"HSPD1P6,LINC02033",Bipolar disorder,bipolar disorder
rs9393813-A,5e-07,-,NR,1.09431,-,[1.05655-1.13342],"ZNF204P,ZNF391",Bipolar disorder,bipolar disorder
rs2205829-G,4e-07,-,NR,1.09434,-,[1.05685-1.13317],"ZNF184,HNRNPA1P1",Bipolar disorder,bipolar disorder
rs4523096-A,7e-08,-,NR,1.15455,-,[1.09573-1.21652],SYNE1,Bipolar disorder,bipolar disorder
rs4332037-T,2e-09,-,NR,1.1659197,-,[1.10894251242016-1.22582369222999],MAD1L1,Bipolar disorder,bipolar disorder
rs28456-G,6e-09,(Japanese),NR,1.18,-,[1.11-1.24],"FADS1,FADS2",Bipolar disorder,bipolar disorder
rs10875914-G,6e-08,-,NR,1.11,-,[1.07-1.15],KMT2D,Bipolar disorder,bipolar disorder
rs17099448-?,3e-06,(externalizing vs. non-externalizing),NR,2.1584287,-,[NR],"TPI1P1,ST6GALNAC3",Bipolar disorder,bipolar disorder
rs17622252-?,4e-06,(externalizing vs. non-externalizing),NR,1.658,-,[NR],"LINC00581,CDKAL1",Bipolar disorder,bipolar disorder
rs9359856-?,5e-06,(early-onset vs. non-externalizing),NR,1.6417665,-,[NR],"LYRM2,ANKRD6",Bipolar disorder,bipolar disorder
rs4761053-?,7e-06,(early-onset vs. non-externalizing),NR,1.525,-,[NR],"LINC02441,LINC00508",Bipolar disorder,bipolar disorder
rs114034759-A,6e-07,-,NR,1.83,-,[NR],MKLN1,Bipolar disorder (early onset),bipolar disorder
rs56361249-?,3e-10,-,NR,1.12,-,-,LMAN2L,Bipolar disorder,bipolar disorder
rs9834970-?,2e-10,-,NR,1.11,-,-,"HSPD1P6,LINC02033",Bipolar disorder,bipolar disorder
rs2302417-?,3e-09,-,NR,1.11,-,-,ITIH1,Bipolar disorder,bipolar disorder
rs1203233-?,4e-08,-,NR,1.1,-,-,SYNE1,Bipolar disorder,bipolar disorder
rs10994299-?,1e-09,-,NR,1.23,-,-,ANK3,Bipolar disorder,bipolar disorder
rs10884920-?,3e-08,-,NR,1.12,-,-,ADD3,Bipolar disorder,bipolar disorder
rs4765913-?,3e-09,-,NR,1.13,-,-,CACNA1C,Bipolar disorder,bipolar disorder
rs10459221-?,2e-08,-,NR,1.1,-,-,"DHH,RHEBL1",Bipolar disorder,bipolar disorder
rs28455634-G,3e-10,-,0.62,1.06481,-,[1.05-1.08],"HAPSTR1,RPL21P119",Bipolar disorder,bipolar disorder
rs28565152-G,2e-09,-,0.762,0.9351,-,[0.91-0.96],ADCY2,Bipolar disorder,bipolar disorder
rs2953928-G,6e-09,-,0.933,0.89039,-,[0.85-0.93],"RPL6P22,RPL10AP3",Bipolar disorder,bipolar disorder
rs3088186-C,2e-08,-,0.713,0.94488,-,[0.93-0.96],MSRA,Bipolar disorder,bipolar disorder
rs35306827-G,4e-09,-,0.775,1.06812,-,[1.05-1.09],CUL4A,Bipolar disorder,bipolar disorder
rs35958438-G,4e-08,-,0.772,1.06631,-,[1.04-1.09],LINC02694,Bipolar disorder,bipolar disorder
rs12668848-G,2e-09,-,0.575,1.05866,-,[1.04-1.08],MAD1L1,Bipolar disorder,bipolar disorder
rs4447398-A,3e-09,-,0.131,1.08567,-,[1.06-1.11],STARD9,Bipolar disorder,bipolar disorder
rs4619651-G,5e-11,-,0.67,1.06833,-,[1.05-1.09],"LMAN2L,CNNM4",Bipolar disorder,bipolar disorder
rs4672-G,3e-09,-,0.917,0.9033,-,[0.87-0.94],FKBP2,Bipolar disorder,bipolar disorder
rs4702-G,4e-09,-,0.446,1.05897,-,[1.04-1.08],FURIN,Bipolar disorder,bipolar disorder
rs475805-G,2e-09,-,0.233,0.9352,-,[0.91-0.96],PACS1,Bipolar disorder,bipolar disorder
rs17183814-G,3e-08,-,0.924,1.10838,-,[1.07-1.14],SCN2A,Bipolar disorder,bipolar disorder
rs5758064-T,2e-08,-,0.523,1.0538,-,[1.04-1.07],"SLC25A17,MCHR1",Bipolar disorder,bipolar disorder
rs1998820-T,4e-08,-,0.886,1.0873,-,[1.06-1.12],CACNB2,Bipolar disorder,bipolar disorder
rs2011302-T,4e-08,-,0.623,0.94847,-,[0.93-0.97],"SLC44A3P1,PCGEM1",Bipolar disorder,bipolar disorder
rs2126180-G,2e-09,-,0.543,0.94497,-,[0.93-0.96],LINC01748,Bipolar disorder,bipolar disorder
rs2273738-C,2e-11,-,0.865,0.91238,-,[0.89-0.94],XPNPEP1,Bipolar disorder,bipolar disorder
rs62489493-C,3e-11,-,0.872,0.91421,-,[0.89-0.94],MIR124-1HG,Bipolar disorder,bipolar disorder
rs2336147-T,4e-13,-,0.498,1.07004,-,[1.05-1.09],PBRM1,Bipolar disorder,bipolar disorder
rs67712855-T,4e-11,-,0.687,1.07004,-,[1.05-1.09],STK4,Bipolar disorder,bipolar disorder
rs2693698-A,2e-08,-,0.449,0.94838,-,[0.93-0.97],BCL11B,Bipolar disorder,bipolar disorder
rs6865469-G,2e-08,-,0.726,0.94346,-,[0.92-0.96],Y_RNA,Bipolar disorder,bipolar disorder
rs6887473-G,9e-09,-,0.739,1.06216,-,[1.04-1.08],SSBP2,Bipolar disorder,bipolar disorder
rs6946056-A,4e-08,-,0.377,0.94819,-,[0.93-0.97],PLXNA4,Bipolar disorder,bipolar disorder
rs6954854-G,6e-10,-,0.425,1.06003,-,[1.04-1.08],SP4,Bipolar disorder,bipolar disorder
rs112481526-A,2e-09,-,0.744,0.93885,-,[0.92-0.96],BLTP1,Bipolar disorder,bipolar disorder
rs113779084-G,1e-13,-,0.701,0.92728,-,[0.91-0.95],THSD7A,Bipolar disorder,bipolar disorder
rs115694474-T,2e-08,-,0.799,1.06844,-,[1.05-1.09],SAMMSON,Bipolar disorder,bipolar disorder
rs11764361-A,3e-09,-,0.668,1.06343,-,[1.04-1.08],"PUS7,SRPK2",Bipolar disorder,bipolar disorder
rs11870683-T,3e-08,-,0.65,1.05897,-,[1.04-1.08],GSDMA,Bipolar disorder,bipolar disorder
rs12289486-C,3e-08,-,0.885,0.92072,-,[0.89-0.95],TENM4,Bipolar disorder,bipolar disorder
rs12575685-G,1e-10,-,0.673,0.93688,-,[0.92-0.96],SHANK2,Bipolar disorder,bipolar disorder
rs4331993-T,2e-08,-,0.618,0.94677,-,[0.93-0.97],SYNE1,Bipolar disorder,bipolar disorder
rs12672003-A,3e-09,-,0.887,0.91211,-,[0.88-0.94],PALS2,Bipolar disorder,bipolar disorder
rs12932628-G,7e-09,-,0.513,0.94459,-,[0.93-0.96],RPL13,Bipolar disorder,bipolar disorder
rs13044225-A,9e-09,-,0.56,0.94677,-,[0.93-0.97],OSBPL2,Bipolar disorder,bipolar disorder
rs13195402-G,6e-15,-,0.919,1.14614,-,[1.11-1.18],BTN2A1,Bipolar disorder,bipolar disorder
rs13417268-C,2e-08,-,0.758,1.06375,-,[1.04-1.09],CERS6,Bipolar disorder,bipolar disorder
rs1487445-C,1e-15,-,0.513,0.92849,-,[0.91-0.95],"MIR2113,EIF4EBP2P3",Bipolar disorder,bipolar disorder
rs4790841-C,3e-08,-,0.849,0.92969,-,[0.9-0.96],"RTN4RL1,RPA1",Bipolar disorder,bipolar disorder
rs174592-A,1e-13,-,0.605,0.93053,-,[0.91-0.95],FADS2,Bipolar disorder,bipolar disorder
rs6032110-A,1e-09,-,0.512,1.05908,-,[1.04-1.08],RBPJL,Bipolar disorder,bipolar disorder
rs61554907-G,2e-08,-,0.876,0.91686,-,[0.89-0.95],THRA,Bipolar disorder,bipolar disorder
rs62011709-T,1e-08,-,0.747,1.06418,-,[1.04-1.09],HOMER2,Bipolar disorder,bipolar disorder
rs228768-G,3e-10,-,0.294,1.06652,-,[1.05-1.09],HDAC5,Bipolar disorder,bipolar disorder
rs62581014-C,3e-08,-,0.634,0.93688,-,[0.91-0.96],"IL9RP1,TUBBP5",Bipolar disorder,bipolar disorder
rs237460-C,4e-09,-,0.588,0.9462,-,[0.93-0.96],KCNB1,Bipolar disorder,bipolar disorder
rs678397-T,5e-09,-,0.457,1.05601,-,[1.04-1.07],ACTN3,Bipolar disorder,bipolar disorder
rs2719164-A,5e-08,-,0.564,1.05306,-,[1.03-1.07],"SEC61GP1,DNAJC17P1",Bipolar disorder,bipolar disorder
rs696366-C,4e-08,-,0.55,1.05295,-,[1.03-1.07],"CD47,LINC00636",Bipolar disorder,bipolar disorder
rs6992333-A,2e-09,-,0.59,0.94158,-,[0.92-0.96],PLEC,Bipolar disorder,bipolar disorder
rs7199910-T,2e-08,-,0.688,0.94582,-,[0.93-0.97],GRIN2A,Bipolar disorder,bipolar disorder
rs748455-T,5e-11,-,0.719,1.06983,-,[1.05-1.09],"ZSCAN2,ZSCAN2-AS1",Bipolar disorder,bipolar disorder
rs9834970-T,7e-19,-,0.519,0.92035,-,[0.9-0.94],"HSPD1P6,LINC02033",Bipolar disorder,bipolar disorder
rs10255167-G,2e-08,-,0.222,0.93576,-,[0.91-0.96],"CCT4P1,BRAF",Bipolar disorder,bipolar disorder
rs10455979-C,4e-09,-,0.5,0.94592,-,[0.93-0.96],RPS6KA2,Bipolar disorder,bipolar disorder
rs10737496-C,7e-09,-,0.444,1.0557,-,[1.04-1.07],"RNA5SP63,U3",Bipolar disorder,bipolar disorder
rs10761661-C,5e-08,-,0.528,0.95009,-,[0.93-0.97],"ADO,ALDH7A1P4",Bipolar disorder,bipolar disorder
rs10866641-T,3e-11,-,0.575,1.0646,-,[1.05-1.08],"INSYN2B,DOCK2",Bipolar disorder,bipolar disorder
rs10973201-T,2e-08,-,0.89,0.90846,-,[0.87-0.94],EBLN3P,Bipolar disorder,bipolar disorder
rs10994415-T,1e-11,-,0.918,0.88861,-,[0.85-0.92],ANK3,Bipolar disorder,bipolar disorder
rs10043984-C,4e-08,-,0.764,0.94242,-,[0.92-0.96],KDM3B,Bipolar disorder,bipolar disorder
rs11062170-G,2e-15,-,0.667,0.92506,-,[0.91-0.94],CACNA1C,Bipolar disorder,bipolar disorder
rs12933065-T,5e-06,(female),0.6478,-,0.1001 unit increase,[0.057-0.143],"CALB2,CMTR2",Bipolar disorder,bipolar disorder
rs1906292-T,7e-06,(female),0.5717,-,0.1083 unit increase,[0.061-0.155],LINC02513,Bipolar disorder,bipolar disorder
rs74680417-T,6e-06,(female),0.1373,-,0.1383 unit increase,[0.078-0.198],TTC39B,Bipolar disorder,bipolar disorder
rs72734311-A,3e-06,(male),0.0784,-,0.2106 unit increase,[0.12-0.3],TLE4,Bipolar disorder,bipolar disorder
rs149898505-T,9e-06,(male),0.9605,-,0.3025 unit decrease,[0.17-0.44],PHAX,Bipolar disorder,bipolar disorder
rs17679321-A,4e-07,(male),0.0353,-,0.3363 unit increase,[0.21-0.47],PEBP4,Bipolar disorder,bipolar disorder
rs6066295-A,2e-07,(male),0.8249,-,0.1903 unit increase,[0.12-0.26],"ZMYND8,LINC01754",Bipolar disorder,bipolar disorder
rs8039223-A,3e-07,(male),0.8955,-,0.2268 unit decrease,[0.14-0.31],TUBGCP5,Bipolar disorder,bipolar disorder
rs211137-T,2e-07,(male),0.4357,-,0.1329 unit decrease,[0.083-0.183],SERGEF,Bipolar disorder,bipolar disorder
chr11:108892250-?,7e-06,(male),0.352,-,0.1036 unit decrease,[0.058-0.149],-,Bipolar disorder,bipolar disorder
rs62009532-A,1e-06,(male),0.9063,-,0.1946 unit decrease,[0.12-0.27],TUBGCP5,Bipolar disorder,bipolar disorder
rs994280-A,3e-08,-,NR,1.07,-,[1.05-1.09],SPATS2L,Bipolar disorder,bipolar disorder
rs1440518-A,3e-08,-,NR,1.06,-,[1.04-1.08],RBMS3,Bipolar disorder,bipolar disorder
rs1948246-G,5e-09,-,NR,1.07,-,[1.05-1.09],LINC01378,Bipolar disorder,bipolar disorder
rs11742527-G,2e-08,-,NR,1.06,-,[1.04-1.08],"INSYN2B,DOCK2",Bipolar disorder,bipolar disorder
rs113799727-G,5e-09,-,NR,1.08,-,[1.06-1.1],LINC01470,Bipolar disorder,bipolar disorder
rs1180221-T,3e-09,-,NR,1.09,-,[1.07-1.11],ME1,Bipolar disorder,bipolar disorder
rs62533709-T,3e-09,-,NR,1.11,-,[1.07-1.15],PAX5,Bipolar disorder,bipolar disorder
rs12921204-T,3e-09,-,NR,1.08,-,[1.06-1.1],"HAPSTR1,RPL21P119",Bipolar disorder,bipolar disorder
rs6079469-A,1e-09,-,NR,1.09,-,[1.07-1.11],MACROD2,Bipolar disorder,bipolar disorder
rs8118905-C,2e-08,-,NR,1.07,-,[1.05-1.09],"MOCS3,KCNG1",Bipolar disorder,bipolar disorder
rs4619651-A,5e-10,-,0.2972,-,0.07221315 unit decrease,[0.049-0.095],"LMAN2L,CNNM4",Bipolar disorder (MTAG),bipolar disorder
rs4380187-A,1e-10,-,0.5457,-,0.070146814 unit increase,[0.049-0.091],"ZNF804A,ELF2P4",Bipolar disorder (MTAG),bipolar disorder
rs2719169-A,1e-08,-,0.4095,-,0.06331754 unit decrease,[0.041-0.085],"DNAJC17P1,SEC61GP1",Bipolar disorder (MTAG),bipolar disorder
rs6434928-A,2e-09,-,0.7256,-,0.06987272 unit decrease,[0.047-0.093],"SF3B1,RNU6-1029P",Bipolar disorder (MTAG),bipolar disorder
rs34388051-A,4e-08,-,0.7018,-,0.06500347 unit decrease,[0.042-0.088],PLCL1,Bipolar disorder (MTAG),bipolar disorder
rs1367858-T,3e-10,-,0.337999999999999,-,0.071695566 unit increase,[0.049-0.094],"SPATS2L,MAIP1",Bipolar disorder (MTAG),bipolar disorder
rs2592118-T,2e-08,-,0.4414,-,0.06117973 unit increase,[0.04-0.083],NGEF,Bipolar disorder (MTAG),bipolar disorder
rs35346733-A,5e-09,-,0.1879,-,0.08186534 unit increase,[0.054-0.109],CNTN4,Bipolar disorder (MTAG),bipolar disorder
rs9834970-T,3e-15,-,0.4891,-,0.085021734 unit decrease,[0.064-0.106],"HSPD1P6,LINC02033",Bipolar disorder (MTAG),bipolar disorder
rs4481150-T,5e-14,-,0.499,-,0.0816702 unit increase,[0.06-0.103],ITIH3,Bipolar disorder (MTAG),bipolar disorder
rs13135092-A,2e-08,-,0.9145,-,0.114025064 unit decrease,[0.074-0.154],SLC39A8,Bipolar disorder (MTAG),bipolar disorder
rs12055234-A,4e-09,-,0.3231,-,0.06832512 unit increase,[0.046-0.091],"RNU6-334P,NIHCOLE",Bipolar disorder (MTAG),bipolar disorder
rs111294930-A,6e-09,-,0.7187,-,0.07580467 unit increase,[0.05-0.101],LINC01470,Bipolar disorder (MTAG),bipolar disorder
rs68188794-T,2e-21,-,0.9314,-,0.21067278 unit increase,[0.17-0.25],"ZSCAN16-AS1,ZSCAN16",Bipolar disorder (MTAG),bipolar disorder
rs55648125-A,1e-08,-,0.9016,-,0.09884386 unit decrease,[0.065-0.133],"TFAP2B,RPS17P5",Bipolar disorder (MTAG),bipolar disorder
rs9350984-T,4e-08,-,0.4463,-,0.06007398 unit decrease,[0.039-0.082],SNAP91,Bipolar disorder (MTAG),bipolar disorder
rs12154473-A,3e-10,-,0.4115,-,0.0702696 unit decrease,[0.048-0.092],MAD1L1,Bipolar disorder (MTAG),bipolar disorder
rs116052126-A,2e-10,-,0.1223,-,0.10083173 unit increase,[0.07-0.132],GSDME,Bipolar disorder (MTAG),bipolar disorder
rs17156675-T,3e-08,-,0.3022,-,0.0655681 unit increase,[0.042-0.089],PCLO,Bipolar disorder (MTAG),bipolar disorder
rs12704290-A,3e-09,-,0.1282,-,0.09916416 unit decrease,[0.066-0.132],"GRM3,GRM3-AS1",Bipolar disorder (MTAG),bipolar disorder
rs2966424-A,3e-08,-,0.9006,-,0.09766744 unit increase,[0.063-0.132],"IMMP2L,RPL3P8",Bipolar disorder (MTAG),bipolar disorder
rs13236223-T,1e-08,-,0.7823,-,0.07514365 unit increase,[0.049-0.101],"CCT4P1,BRAF",Bipolar disorder (MTAG),bipolar disorder
rs7001340-T,1e-08,-,0.7624,-,0.07478822 unit increase,[0.049-0.1],"LETM2,FGFR1",Bipolar disorder (MTAG),bipolar disorder
rs11167136-A,4e-09,-,0.4314,-,0.064090855 unit decrease,[0.043-0.085],TSNARE1,Bipolar disorder (MTAG),bipolar disorder
rs912983-T,2e-08,-,0.1034,-,0.101019025 unit decrease,[0.066-0.136],CACNB2,Bipolar disorder (MTAG),bipolar disorder
rs12136984-T,5e-09,-,0.4662,-,0.063813604 unit decrease,[0.042-0.085],"LINC01360,RN7SKP19",Bipolar disorder (MTAG),bipolar disorder
rs12563424-T,1e-08,-,0.6421,-,0.06371661 unit decrease,[0.042-0.086],"ALG14,TLCD4",Bipolar disorder (MTAG),bipolar disorder
rs72692857-T,4e-10,-,0.831,-,0.09163021 unit increase,[0.063-0.12],"RPL6P31,OTUD7B",Bipolar disorder (MTAG),bipolar disorder
rs72769124-A,2e-08,-,0.0964,-,0.10861333 unit increase,[0.071-0.147],"CHRM3,MIPEPP2",Bipolar disorder (MTAG),bipolar disorder
rs2339519-A,2e-09,-,0.4732,-,0.06645702 unit increase,[0.045-0.088],"LINC03116,LINC01830",Bipolar disorder (MTAG),bipolar disorder
rs12474906-A,8e-09,-,0.7873,-,0.07945648 unit increase,[0.052-0.106],"RBKS,MRPL33",Bipolar disorder (MTAG),bipolar disorder
rs80256351-A,1e-10,-,0.0557,-,0.15337054 unit decrease,[0.11-0.2],"VRK2,ACTG1P22",Bipolar disorder (MTAG),bipolar disorder
rs11191356-A,2e-09,-,0.9056,-,0.114138626 unit increase,[0.077-0.151],"SUFU,TRIM8",Bipolar disorder (MTAG),bipolar disorder
rs11191582-A,9e-13,-,0.0885,-,0.13741739 unit decrease,[0.1-0.175],NT5C2,Bipolar disorder (MTAG),bipolar disorder
rs484201-T,9e-09,-,0.4732,-,0.06510238 unit increase,[0.043-0.087],MACROD1,Bipolar disorder (MTAG),bipolar disorder
rs12805133-A,5e-09,-,0.5507,-,0.06369018 unit decrease,[0.042-0.085],SPTBN2,Bipolar disorder (MTAG),bipolar disorder
rs2514218-T,2e-10,-,0.3519,-,0.07235493 unit decrease,[0.05-0.095],"DRD2,TMPRSS5",Bipolar disorder (MTAG),bipolar disorder
rs35774874-T,3e-08,-,0.494,-,0.061993353 unit increase,[0.04-0.084],"SNX19,RN7SL167P",Bipolar disorder (MTAG),bipolar disorder
rs2238044-A,6e-09,-,0.3797,-,0.065534785 unit increase,[0.043-0.088],CACNA1C,Bipolar disorder (MTAG),bipolar disorder
rs4298967-A,1e-16,-,0.337999999999999,-,0.09423101 unit increase,[0.072-0.116],"CACNA1C,CACNA1C-IT3",Bipolar disorder (MTAG),bipolar disorder
rs740417-A,4e-08,-,0.6243,-,0.06133531 unit increase,[0.04-0.083],CACNA1C,Bipolar disorder (MTAG),bipolar disorder
rs10745843-A,5e-09,-,0.5845,-,0.065029874 unit increase,[0.043-0.087],ANKS1B,Bipolar disorder (MTAG),bipolar disorder
rs10129264-T,1e-08,-,0.4314,-,0.063447036 unit decrease,[0.042-0.085],BCL11B,Bipolar disorder (MTAG),bipolar disorder
rs12887734-T,2e-11,-,0.2744,-,0.08054831 unit increase,[0.057-0.104],"COA8,KLC1",Bipolar disorder (MTAG),bipolar disorder
rs28681284-T,8e-09,-,0.2207,-,0.07864479 unit decrease,[0.052-0.105],CHRNA3,Bipolar disorder (MTAG),bipolar disorder
rs71395455-A,2e-12,-,0.7117,-,0.083049946 unit increase,[0.06-0.106],"ZSCAN2-AS1,ZSCAN2",Bipolar disorder (MTAG),bipolar disorder
rs4702-A,1e-10,-,0.5626,-,0.07342183 unit decrease,[0.051-0.096],FURIN,Bipolar disorder (MTAG),bipolar disorder
rs11648559-T,1e-08,-,0.3131,-,0.069688074 unit increase,[0.046-0.094],GRIN2A,Bipolar disorder (MTAG),bipolar disorder
rs9926049-A,3e-11,-,0.3201,-,0.07782277 unit increase,[0.055-0.101],GRIN2A,Bipolar disorder (MTAG),bipolar disorder
rs7499750-A,4e-08,-,0.2604,-,0.06897875 unit increase,[0.044-0.094],"TMF1P1,ERCC4",Bipolar disorder (MTAG),bipolar disorder
rs3814883-T,2e-09,-,0.4602,-,0.0667322 unit decrease,[0.045-0.088],TAOK2,Bipolar disorder (MTAG),bipolar disorder
rs4239639-A,1e-08,-,0.827,-,0.08104238 unit decrease,[0.053-0.109],MAU2,Bipolar disorder (MTAG),bipolar disorder
rs138321-A,2e-09,-,0.5149,-,0.0656635 unit increase,[0.044-0.087],SLC25A17,Bipolar disorder (MTAG),bipolar disorder
rs11887562-A,2e-08,-,0.493,-,0.061676037 unit increase,[0.040-0.083],"LINC03116,LINC01830",Bipolar disorder (MTAG),bipolar disorder
rs9863544-T,2e-08,-,0.058,0.65,-,[0.559-0.756],NPHP3-AS1,Bipolar disorder,bipolar disorder
rs4245147-C,4e-07,-,0.161,0.789,-,[0.720-0.865],DRD2,Bipolar disorder,bipolar disorder
rs41335055-T,5e-09,-,NR,0.849,-,[0.804-0.897],"EIF2S2P7,ACTG1P22",Bipolar disorder,bipolar disorder
rs17183814-A,2e-09,-,NR,0.883,-,[0.848-0.919],SCN2A,Bipolar disorder,bipolar disorder
chr2:194465711-?,9e-10,-,NR,0.935,-,[0.915-0.955],-,Bipolar disorder,bipolar disorder
rs9834970-T,4e-12,-,NR,0.928,-,[0.909-0.948],"HSPD1P6,LINC02033",Bipolar disorder,bipolar disorder
rs2302417-A,6e-11,-,NR,0.932,-,[0.913-0.952],ITIH1,Bipolar disorder,bipolar disorder
rs3804640-A,2e-09,-,NR,1.068,-,[1.045-1.091],CD47,Bipolar disorder,bipolar disorder
rs10035291-T,3e-08,-,NR,1.068,-,[1.044-1.093],SSBP2,Bipolar disorder,bipolar disorder
chr6:72519394-?,2e-08,-,NR,1.063,-,[1.041-1.086],-,Bipolar disorder,bipolar disorder
rs2388334-A,4e-09,-,NR,0.939,-,[0.920-0.959],"EIF4EBP2P3,MIR2113",Bipolar disorder,bipolar disorder
rs12672003-A,3e-08,-,NR,0.893,-,[0.858-0.929],PALS2,Bipolar disorder,bipolar disorder
rs10994318-C,1e-08,-,NR,1.134,-,[1.086-1.184],ANK3,Bipolar disorder,bipolar disorder
chr10:111745562-?,2e-09,-,NR,1.089,-,[1.059-1.120],-,Bipolar disorder,bipolar disorder
rs10896090-A,2e-08,-,NR,1.079,-,[1.051-1.108],PACS1,Bipolar disorder,bipolar disorder
